2025-02-23 13:00:00.443 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 13:00:00.592 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 13:00:00.598 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 13:03:56.699 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 13:03:57.472 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 13:03:57.484 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 13:04:52.264 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:04:56.642 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:04:57.775 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 13:04:57.778 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 13:08:05.000 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 13:08:05.101 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 13:08:05.106 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 13:09:11.749 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:09:11.850 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:09:11.884 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 13:09:11.887 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 13:09:46.810 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:09:48.266 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:09:57.235 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'.
2025-02-23 13:09:57.239 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 13:14:24.339 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 13:14:24.492 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 13:14:24.514 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
2025-02-23 13:15:12.930 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentFailEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:15:14.026 WARN  You are using a basic message to do pub/sub. Consider implementing the more specific ICommand and IEvent interfaces on the type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent' to help NServiceBus to enforce messaging best practices for you.
2025-02-23 13:15:14.809 INFO  Could not find a started saga of 'Sale.Core.Domain.Saga.SaleSaga' for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'.
2025-02-23 13:15:14.823 INFO  Could not find any started sagas for message type 'Sale.Core.Domain.Saga.Events.PaymentConfirmedEvent'. Going to invoke SagaNotFoundHandlers.
2025-02-23 13:19:42.381 INFO  Logging to 'C:\1 Arquivos\TI\0 Dev\GitHub\Projeto 3 apis\src\backend\src\Payment\Payment.WebApi\bin\Debug\net8.0\' with level Info
2025-02-23 13:19:42.540 INFO  No valid license could be found. Falling back to trial license with start date '2025-02-13'.
2025-02-23 13:19:42.546 WARN  Trial license expiring in 4 days. Get your free development license at https://particular.net/license/nservicebus?v=9.2.6&t=0&p=windows&f=8
